rect,N,estimate,rel_error,rect_area,exact_area
small,94100,0.9522350691,0.0081712470,1.9600000000,0.9445171859
large,94100,0.9400819878,0.0046957304,9.7221359550,0.9445171859
small,94600,0.9442807611,0.0002503129,1.9600000000,0.9445171859
large,94600,0.9380936258,0.0068008928,9.7221359550,0.9445171859
small,95100,0.9437472135,0.0008152021,1.9600000000,0.9445171859
large,95100,0.9441001635,0.0004415192,9.7221359550,0.9445171859
small,95600,0.9483242678,0.0040307174,1.9600000000,0.9445171859
large,95600,0.9515693110,0.0074663809,9.7221359550,0.9445171859
small,96100,0.9461028096,0.0016787664,1.9600000000,0.9445171859
large,96100,0.9118169757,0.0346210855,9.7221359550,0.9445171859
small,96600,0.9410840580,0.0036347967,1.9600000000,0.9445171859
large,96600,0.9450399236,0.0005534443,9.7221359550,0.9445171859
small,97100,0.9397705458,0.0050254671,1.9600000000,0.9445171859
large,97100,0.9408744755,0.0038566905,9.7221359550,0.9445171859
small,97600,0.9413823770,0.0033189537,1.9600000000,0.9445171859
large,97600,0.9510958412,0.0069650985,9.7221359550,0.9445171859
small,98100,0.9473732926,0.0030238800,1.9600000000,0.9445171859
large,98100,0.9448607971,0.0003637956,9.7221359550,0.9445171859
small,98600,0.9435432049,0.0010311946,1.9600000000,0.9445171859
large,98600,0.9302092353,0.0151484280,9.7221359550,0.9445171859
small,99100,0.9426986882,0.0019253199,1.9600000000,0.9445171859
large,99100,0.9384657169,0.0064069443,9.7221359550,0.9445171859
small,99600,0.9455425703,0.0010856175,1.9600000000,0.9445171859
large,99600,0.9477130320,0.0033835764,9.7221359550,0.9445171859
